,name,uri,danceability,energy,loudness,speechiness,acousticness,liveness
0,Severine,spotify:track:16mpPJUgp9zt5mt2ekoGbm,0.233,0.135,-25.622,0.0383,0.781,0.134
1,Skyfall,spotify:track:3oqRTIgpAgB5FGp9qlo5Nh,0.147,0.0537,-31.853,0.0358,0.909,0.202
2,Donna Lucia - From “Spectre” Soundtrack,spotify:track:27eSKsx7d2kmi0RKqqxSR2,0.185,0.0591,-28.233,0.0376,0.617,0.0827
3,Madeleine - From “Spectre” Soundtrack,spotify:track:5lx3FOoUtN0cXNWB5eKno6,0.137,0.0259,-33.185,0.0431,0.415,0.106
4,Divenire,spotify:track:6KpO4neDXxGdiEgsivZieY,0.14,0.217,-15.304,0.0352,0.909,0.0689
5,Arrival of the Birds,spotify:track:1xRCmlU2GyzGem2vw4glxK,0.39,0.123,-17.706,0.0394,0.944,0.0915
6,432,spotify:track:54QDxcAwYWEMmpzSlu4zdk,0.107,0.108,-25.875,0.0387,0.984,0.127
7,Clare de Lune (piano),spotify:track:36wHmYzrABLjCzUoLbnBUq,0.322,0.0173,-27.934,0.0576,0.99,0.0774
8,3 Gymnopédies: 1. Lent et douloureux,spotify:track:10hnf3EVrq4xdt0ahFtRAk,0.455,0.0285,-34.835,0.0794,0.996,0.102
9,Restricting Withdrawals,spotify:track:4y6GNkswYwcCwWtQnbp5as,0.353,0.0644,-35.896,0.0581,0.987,0.104
10,Secret Room - From “Spectre” Soundtrack,spotify:track:7fGAs97nepXs5aKrPRBzBn,0.216,0.0343,-29.698,0.0341,0.814,0.0971
11,Sugar Storm,spotify:track:4ktkHx7JtPUk2D6ma7tUQ7,0.236,0.0347,-22.849,0.0335,0.968,0.0836
12,Just Like You,spotify:track:1IiG0Gezg2gpbECeKVydgy,0.165,0.0171,-25.987,0.0343,0.952,0.104
13,Like Home,spotify:track:6zfemsViILZb7TGKVY63M4,0.0988,0.113,-18.116,0.0389,0.91,0.137
14,Candles,spotify:track:7aS8e5XKVWDcbyn06mF9fz,0.298,0.148,-26.245,0.0438,0.868,0.11
15,Agape,spotify:track:2IvnDjlgH8yy70Nz99UdcJ,0.153,0.162,-19.61,0.0429,0.884,0.111
16,Magic Tree And I Let Myself Go,spotify:track:08tGuOLIGw5uxfMQGQhWtp,0.0596,0.0212,-28.408,0.0511,0.872,0.141
17,saman,spotify:track:5RqKo9P4DLA0bVyY70cWkr,0.583,0.0238,-32.244,0.0369,0.994,0.103
18,"Bella's Lullaby (From ""Twilight"")",spotify:track:0w5ymU3obTE6hVDfMHJDDL,0.274,0.0571,-30.322,0.0545,0.988,0.0844
19,Rain,spotify:track:5bKP0HAlVAzKVqBR3ZjFE6,0.232,0.0721,-27.532,0.0569,0.991,0.052
20,Spectre - End Title,spotify:track:33JvqFadJ8DGdbCnTAIWSL,0.15,0.209,-23.93,0.0404,0.135,0.0722
21,Do Not Disturb,spotify:track:2KvHC9z14GSl4YpkNMX384,0.618,0.693,-5.943,0.45,0.246,0.112
22,OSOM (feat. J. Cole),spotify:track:0QLuexVmR2wgNsekPKbv6c,0.749,0.674,-6.756,0.229,0.406,0.296
23,"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",spotify:track:4eqrNsKy9Mvg1fvfsTVIAE,0.791,0.583,-5.247,0.369,0.0393,0.0577
24,Juicy,spotify:track:4cTm3Ev9bUvy4ChJjB1nhl,0.77,0.697,-2.644,0.0607,0.0817,0.0663
25,Razzle Dazzle (feat. Future),spotify:track:5rk2nRNREUq6TTSS7h11Fr,0.769,0.603,-5.815,0.088,0.177,0.172
26,Pursuit Of Happiness - Extended Steve Aoki Remix (Explicit),spotify:track:5PX4uS1LqlWEPL69phPVQQ,0.722,0.687,-5.189,0.0556,0.00949,0.0462
27,Government Official,spotify:track:2QEnZJ8FwpBoyLKcFcgceT,0.801,0.774,-5.125,0.157,0.0365,0.114
28,Freshman List,spotify:track:4LeJfeJ9u53QLp997SRhim,0.748,0.587,-7.643,0.292,0.125,0.11
29,Hotline Bling,spotify:track:0wwPcA6wtMf6HUMpIRdeP7,0.891,0.628,-7.863,0.0551,0.00258,0.0504
30,Throw A Fit,spotify:track:7D8aQaRzoi9Qzz5yerVK5b,0.888,0.586,-6.745,0.0604,0.00597,0.153
31,"Guwop (feat. Quavo, Offset and Young Scooter)",spotify:track:1BSA5I386L2IAmFQURYjIz,0.883,0.616,-7.218,0.274,0.014,0.0967
32,Gave It All I Got,spotify:track:6O5plClCxL4fZFgsMRAYgT,0.684,0.609,-8.638,0.0787,0.528,0.132
33,Anna Wintour,spotify:track:0U0266U8qEvuhZnHIYZKwd,0.684,0.901,-5.2,0.0843,0.00281,0.0232
34,Nobody Else but You,spotify:track:1HOUzEsetdIPSpAgRPhZQt,0.708,0.612,-6.379,0.122,0.0381,0.277
35,3 Below,spotify:track:4stQ9ma0kqGifqLQQSgOGH,0.883,0.785,-4.03,0.0323,0.0658,0.274
36,No Drama (feat. Offset),spotify:track:3doVAxeH3SgWtlRMqR4eLi,0.748,0.658,-4.656,0.0526,0.196,0.109
37,I'm Upset,spotify:track:3qN5qMTKyEEmiTZD38BNTT,0.899,0.586,-7.866,0.343,0.279,0.0836
38,Seven Million (feat. Future),spotify:track:6j0teRL3WdExzqmy334sh5,0.886,0.629,-4.404,0.306,0.051,0.121
39,Digits,spotify:track:4cg1yakyRSIOjxKM2I7J1q,0.769,0.632,-4.228,0.0537,0.0325,0.116
40,DEVASTATED,spotify:track:4ntsD33Pgsgk8rUyZLLiUV,0.812,0.628,-6.164,0.0682,0.0634,0.254
41,This Is What You Came For (feat. Rihanna),spotify:track:0azC730Exh71aQlOt9Zj3y,0.63,0.928,-2.787,0.0331,0.199,0.148
42,Piece of Me,spotify:track:1ZQnV7ePl8yXoLjPfhWE5L,0.68,0.913,-2.343,0.0844,0.00565,0.288
43,The Girl Is Mine feat. Destiny's Child & Brandy,spotify:track:1zbTIdIbLYlXjtOqlHALh4,0.683,0.943,-3.6,0.0397,0.00422,0.0355
44,Paradise - Radio Edit,spotify:track:2sRrDdpI3A43nRhstSFvrx,0.592,0.865,-5.426,0.0494,0.00923,0.12
45,Rinse & Repeat,spotify:track:5GGqtZRxGpMre6RQO5LQqC,0.789,0.736,-6.534,0.0587,0.0343,0.16
46,One Dance,spotify:track:1xznGGDReH1oQq0xzbwXa3,0.791,0.619,-5.886,0.0532,0.00784,0.351
47,Alone No More,spotify:track:1bVk409hTFVAmFqKtj4zai,0.626,0.922,-4.532,0.0373,0.0807,0.147
