,name,danceability,energy,loudness,speechiness,acousticness,liveness,tempo
0,Just What I Needed,0.619,0.579,-9.307,0.0473,0.0152,0.0858,127.224
1,Holy (feat. Chance The Rapper),0.673,0.704,-8.056,0.36,0.196,0.0898,86.919
2,Reckless,0.849,0.362,-8.585,0.41,0.519,0.233,81.143
3,Sledgehammer,0.657,0.685,-5.203,0.0334,0.0246,0.037,96.458
4,Mandolin Rain,0.563,0.42,-12.566,0.0311,0.818,0.122,139.373
5,What a Fool Believes,0.758,0.378,-15.308,0.0449,0.284,0.049,120.736
6,Monte Carlo,0.797,0.625,-4.893,0.0518,0.084,0.222,145.008
7,Impostor Syndrome,0.717,0.567,-9.166,0.0329,0.6,0.205,114.976
8,First Love / Late Spring,0.443,0.545,-8.196,0.0273,0.000813,0.202,99.914
9,bloodstream,0.59,0.647,-6.195,0.0246,0.483,0.141,172.033
10,Dreams Tonite,0.511,0.622,-5.727,0.0242,0.0108,0.127,99.934
11,Runner,0.527,0.827,-6.083,0.0392,0.0817,0.126,157.3
12,Right Side of My Neck,0.72,0.515,-9.072,0.0262,0.00126,0.331,117.048
13,Sick and Tired (ft. Machine Gun Kelly and Travis Barker),0.748,0.492,-8.584,0.0498,0.151,0.146,145.097
14,Peach Jam,0.857,0.668,-6.816,0.052,0.0175,0.101,89.986
15,Alone Together,0.601,0.565,-6.46,0.174,0.478,0.195,75.377
16,Pressure Love,0.697,0.58,-5.654,0.0301,0.351,0.135,120.028
17,Alphabet Soup,0.741,0.479,-6.822,0.109,0.255,0.11,73.986
18,Deadman's Wonderland,0.712,0.457,-12.419,0.067,0.383,0.321,70.682
19,Freeze Frame,0.699,0.522,-6.841,0.0295,0.124,0.104,130.068
20,blind,0.765,0.663,-5.221,0.0661,0.154,0.0925,150.099
21,No Sleep,0.653,0.711,-6.454,0.0623,0.109,0.443,160.048
22,Love Kills - Remastered,0.467,0.716,-7.744,0.0299,0.00199,0.269,108.287
23,Home Sweet Home,0.403,0.777,-6.416,0.0354,0.0999,0.124,76.329
24,Surrender,0.577,0.385,-14.092,0.0372,0.0267,0.27,125.917
25,Here for You,0.467,0.641,-5.623,0.0301,0.00751,0.125,125.018
26,Peanut Butter Waffles,0.688,0.592,-8.759,0.0347,0.352,0.11,149.998
27,Fly You to the Moon,0.478,0.336,-10.51,0.0538,0.815,0.093,80.552
28,Sunday,0.71,0.643,-14.703,0.194,0.0451,0.0628,167.948
29,CITY OF ANGELS,0.686,0.541,-4.993,0.0493,0.042,0.0675,120.082
30,Wrong Man (feat. Ariana Deboo & Dave B),0.745,0.471,-8.608,0.269,0.32,0.04,84.991
31,Sunshine,0.762,0.624,-6.299,0.0951,0.0942,0.115,149.95
